name,license_plate,car-color,register-car-qty,job,register_date,company,birth-date
Bergen Duran,07 B 6634,YellowGreen,2,Bilgi ??lemci,17/01/2022,?afak Zengin A.?.,20/05/2000
Züfer ?diris Karadeniz,68 H 2900,Peru,3,Sanat yönetmeni,12/01/2022,Tofa?,20/05/1956
Umutcan Arslan,49 V 5553,LightSalmon,3,Oyun hostesi,03/01/2022,Petkim,10/06/1995
Sunel Arslan,67 ZJ 6988,Cornsilk,1,Opera sanatç?s?,07/01/2022,?nönü Erdo?an ?ti.,07/01/1955
Cedide Sezer,20 II 527,MediumTurquoise,3,Radyoloji teknisyeni/teknikeri,09/01/2022,?afak Ltd.,10/10/1973
Bayan Birsan Türknur Aslan,38 K 1614,LawnGreen,2,Yeminli mali mü?avir,05/01/2022,?ama Ltd.,01/01/1989
Güzey Sezgin,25 PHC 719,SkyBlue,3,Özel ?oför,03/01/2022,Arslan Y?ld?r?m Ltd.,07/03/1941
Süzer K?sakürek,11 PCB 48,SlateBlue,2,Kasap,02/01/2022,Aselsan,27/01/1984
Alto?an Dinçsü Erdo?an,38 JZP 670,DarkSeaGreen,1,Gündelikçi,17/01/2022,Sezer Ltd.,13/01/1958
Ne?rin Zülbiye Türk,30 DN 550,BurlyWood,1,Muhasebeci,15/01/2022,Zengin Ltd.,05/11/1976
Bayan Akgüne? A?han Sezer Seven,19 GU 754,Bisque,3,Pideci,13/01/2022,Peak Games,12/07/1907
Uçbeyi Çinerk Öcalan Ülker,47 EH 5357,LightSlateGray,1,Barmeyd,12/01/2022,Türk A.?.,29/08/1943
Dr. Nurveren Duran Aslan,32 OSM 95,DarkGoldenRod,3,??letmeci,11/01/2022,?ama Gülen ?ti.,17/08/2021
Dr. ?ennur Arsoy Demir,68 S 0567,Crimson,3,K?rtasiyeci,06/01/2022,?i?ecam,29/12/1953
Hakikat Tanhan Manço,27 GV 7040,GoldenRod,2,Köfteci,12/01/2022,Selçuk Ecza,30/06/1946
Nili Soylu,81 ELH 97,BlanchedAlmond,3,Av bekçisi,04/01/2022,Y?lmaz A.?.,28/05/1950
Mengüç Çorlu,12 GPM 262,BlueViolet,1,Oyuncakç?,04/01/2022,Selçuk Ecza,30/04/1934
Vezrife Y?ld?r?m,25 KOH 151,Moccasin,1,Kad?n terzisi,06/01/2022,?afak ?hsano?lu A.?.,20/10/1907
Hazine Gülseren Akdeniz,10 ST 552,Chocolate,2,Hamamc?,03/01/2022,Çetin Akçay A.?.,22/01/1926
Nurbanu Ufukay Çorlu,70 KOM 40,ForestGreen,1,Kumarbaz,15/01/2022,Opet,08/07/1951
Gülkad?n Tarhan,26 I 92829,DarkOliveGreen,3,Siyasetçi,10/01/2022,Alemdar Erdo?an ?ti.,10/10/1997
Afife ?ener,46 HF 020,MediumTurquoise,2,Muzcu,11/01/2022,Durmu? Ltd.,29/04/1990
Binba?ar Erdo?an,53 GG 019,Silver,2,Sistem mühendisi,09/01/2022,?ener Gül A.?.,21/02/1976
Afer Fehim Akar Arslan,77 D 64420,Chocolate,3,Ö?retim üyesi,11/01/2022,Çamurcuo?lu Zengin ?ti.,23/11/1921
